MsgCount,HexIdent,Date,Time,Lat,Long,Callsign,Altitude,Speed,Track,Vertica                                                                                                                l
214,424617,,,54.97733,36.97263,SVR1199 ,18000,404,258,192
219,424617,,,54.97714,36.97134,SVR1199 ,18000,404,258,192
226,424617,,,54.97689,36.96941,SVR1199 ,18000,404,258,192
237,424617,,,54.97675,36.96816,SVR1199 ,18000,404,258,192
251,424298,,,55.37695,37.48172,AFL1658 ,24100,405,135,1920
263,424617,,,54.97600,36.96245,SVR1199 ,18025,405,258,512
267,424298,,,55.37570,37.48394,AFL1658 ,24125,405,135,1920
272,424617,,,54.97559,36.95926,SVR1199 ,18050,406,258,576
277,424298,,,55.37430,37.48640,AFL1658 ,24150,405,135,1920
288,424617,,,54.97526,36.95676,SVR1199 ,18050,407,258,704
303,424298,,,55.37283,37.48891,AFL1658 ,24175,405,135,1792
318,424298,,,55.37137,37.49149,AFL1658 ,24225,407,135,1792
319,424617,,,54.97442,36.95043,SVR1199 ,18075,407,258,896
328,424617,,,54.97428,36.94910,SVR1199 ,18100,407,258,896
331,424298,,,55.37018,37.49359,AFL1658 ,24250,407,135,1792
336,424617,,,54.97410,36.94785,SVR1199 ,18100,407,258,896
355,424298,,,55.36891,37.49576,AFL1658 ,24275,407,135,1792
367,424617,,,54.97334,36.94209,SVR1199 ,18125,408,258,1088
370,424298,,,55.36746,37.49834,AFL1658 ,24300,407,135,1792
375,424617,,,54.97321,36.94080,SVR1199 ,18150,408,258,1088
386,424617,,,54.97302,36.93959,SVR1199 ,18150,408,258,1216
404,424617,,,54.97270,36.93700,SVR1199 ,18175,409,258,1280
405,424298,,,55.36509,37.50250,AFL1658 ,24375,407,135,1856
410,424617,,,54.97247,36.93512,SVR1199 ,18175,409,258,1280
420,424617,,,54.97220,36.93321,SVR1199 ,18200,409,258,1408
421,424298,,,55.36382,37.50466,AFL1658 ,24400,407,135,1856
445,424617,,,54.97177,36.92996,SVR1199 ,18225,409,258,1472
464,424617,,,54.97137,36.92683,SVR1199 ,18250,409,258,1600
476,424298,,,55.36043,37.51057,AFL1658 ,24475,408,135,1920
36,504E45,,,55.14313,36.93728,FIA132  ,17550,364,203,1600
39,504E45,,,55.12743,36.92594,FIA132  ,17550,364,203,1600
41,504E45,,,55.12596,36.92489,FIA132  ,17575,364,203,1600
44,504E45,,,55.12479,36.92405,FIA132  ,17575,364,203,1536
53,504E45,,,55.12386,36.92343,FIA132  ,17600,364,203,1536
56,504E45,,,55.12311,36.92288,FIA132  ,17625,364,203,1536
68,504E45,,,55.11994,36.92055,FIA132  ,17675,366,203,1664
74,504E45,,,55.11919,36.92004,FIA132  ,17700,366,203,1664
80,504E45,,,55.11738,36.91872,FIA132  ,17725,367,203,1664
86,504E45,,,55.11673,36.91822,FIA132  ,17725,367,203,1728
90,504E45,,,55.11580,36.91756,FIA132  ,17750,367,203,1728
97,504E45,,,55.11415,36.91641,FIA132  ,17800,367,203,1792
124,504E45,,,55.11003,36.91342,FIA132  ,17875,368,203,1984
128,504E45,,,55.10928,36.91290,FIA132  ,17900,368,203,1984
132,504E45,,,55.10835,36.91223,FIA132  ,17925,368,203,1984
134,504E45,,,55.10687,36.91115,FIA132  ,17950,368,203,1984
137,504E45,,,55.10628,36.91067,FIA132  ,17975,368,203,2176
141,504E45,,,55.10500,36.90978,FIA132  ,18000,368,203,2240
146,504E45,,,55.10349,36.90873,FIA132  ,18050,368,203,2368
149,504E45,,,55.10346,36.90865,FIA132  ,18075,368,203,2432
161,504E45,,,55.10175,36.90744,FIA132  ,18125,368,203,2496
169,504E45,,,55.09909,36.90549,FIA132  ,18175,368,203,2496
173,504E45,,,55.09844,36.90507,FIA132  ,18175,368,203,2496
176,504E45,,,55.09774,36.90457,FIA132  ,18200,368,203,2432
184,504E45,,,55.09566,36.90308,FIA132  ,18250,368,203,2368
207,504E45,,,55.09043,36.89933,FIA132  ,18375,369,203,2048
210,504E45,,,55.08966,36.89879,FIA132  ,18375,369,203,1984
217,504E45,,,55.08842,36.89783,FIA132  ,18400,369,203,1984
221,504E45,,,55.08759,36.89725,FIA132  ,18425,370,203,1984
224,504E45,,,55.08694,36.89683,FIA132  ,18450,370,203,1920
230,504E45,,,55.08554,36.89581,FIA132  ,18475,370,203,1792
234,504E45,,,55.08463,36.89516,FIA132  ,18475,370,203,1792
239,504E45,,,55.08387,36.89459,FIA132  ,18500,371,203,1728
251,504E45,,,55.08256,36.89359,FIA132  ,18525,371,203,1728
255,504E45,,,55.08174,36.89306,FIA132  ,18525,371,203,1664
271,504E45,,,55.07927,36.89128,FIA132  ,18575,372,203,1664
276,504E45,,,55.07847,36.89067,FIA132  ,18600,372,203,1664
282,504E45,,,55.07809,36.89043,FIA132  ,18625,372,203,1664
286,504E45,,,55.07674,36.88943,FIA132  ,18650,372,203,1664
301,504E45,,,55.07251,36.88635,FIA132  ,18700,373,203,1664
306,504E45,,,55.07162,36.88576,FIA132  ,18725,373,203,1728
318,504E45,,,55.06962,36.88427,FIA132  ,18750,373,203,1728
321,504E45,,,55.06888,36.88377,FIA132  ,18775,373,203,1728
322,504E45,,,55.06819,36.88328,FIA132  ,18800,373,203,1728
338,504E45,,,55.06490,36.88086,FIA132  ,18850,374,203,1792
343,504E45,,,55.06430,36.88046,FIA132  ,18850,374,203,1792
351,504E45,,,55.06174,36.87860,FIA132  ,18925,374,203,1792
355,504E45,,,55.05999,36.87736,FIA132  ,18950,376,203,1792
360,504E45,,,55.05845,36.87619,FIA132  ,18975,376,203,1792
380,504E45,,,55.05377,36.87286,FIA132  ,19050,377,203,1536
381,504E45,,,55.05296,36.87228,FIA132  ,19050,377,203,1536
384,504E45,,,55.03969,36.86263,FIA132  ,19300,377,203,1536
395,504E45,,,55.03969,36.86263,FIA132  ,19375,381,203,1856
396,504E45,,,55.03468,36.85897,FIA132  ,19375,381,203,1856
399,504E45,,,55.03400,36.85848,FIA132  ,19400,381,203,1856
403,504E45,,,55.03094,36.85622,FIA132  ,19475,381,203,1920
409,504E45,,,55.02996,36.85555,FIA132  ,19475,381,203,1984
412,504E45,,,55.02823,36.85428,FIA132  ,19525,382,203,1920
423,504E45,,,55.02676,36.85323,FIA132  ,19550,382,203,1856
427,504E45,,,55.02672,36.85323,FIA132  ,19575,382,203,1856
429,504E45,,,55.02526,36.85214,FIA132  ,19575,382,203,1856
441,504E45,,,55.02287,36.85041,FIA132  ,19600,383,203,1728
444,504E45,,,55.02186,36.84973,FIA132  ,19625,383,203,1728
453,504E45,,,55.01967,36.84806,FIA132  ,19675,383,203,1664
456,504E45,,,55.01875,36.84742,FIA132  ,19675,383,203,1664
474,504E45,,,55.01632,36.84573,FIA132  ,19725,384,203,1664
477,504E45,,,55.01546,36.84507,FIA132  ,19750,384,203,1664
479,504E45,,,55.01472,36.84451,FIA132  ,19750,384,203,1664
486,504E45,,,55.01394,36.84398,FIA132  ,19775,384,203,1664
495,504E45,,,55.01138,36.84215,FIA132  ,19825,385,203,1600
499,504E45,,,55.01051,36.84152,FIA132  ,19825,385,203,1600
516,504E45,,,55.00822,36.83982,FIA132  ,19875,385,203,1664
541,504E45,,,55.00566,36.83797,FIA132  ,19925,386,203,1664
545,504E45,,,55.00477,36.83732,FIA132  ,19925,386,203,1664
550,504E45,,,55.00412,36.83691,FIA132  ,19950,386,203,1664
565,504E45,,,55.00021,36.83408,FIA132  ,20000,387,203,1664
571,504E45,,,55.00049,36.83425,FIA132  ,20025,387,203,1664
578,504E45,,,54.99957,36.83360,FIA132  ,20025,387,203,1664
584,504E45,,,54.99884,36.83304,FIA132  ,20050,387,203,1664
591,504E45,,,54.99765,36.83215,FIA132  ,20050,387,203,1600
593,504E45,,,54.99623,36.83118,FIA132  ,20075,387,203,1600
598,504E45,,,54.99518,36.83045,FIA132  ,20100,389,203,1664
607,504E45,,,54.99303,36.82884,FIA132  ,20125,389,203,1664
614,504E45,,,54.99152,36.82779,FIA132  ,20175,389,203,1664
620,504E45,,,54.99051,36.82706,FIA132  ,20175,390,203,1728
628,504E45,,,54.98964,36.82642,FIA132  ,20200,390,203,1728
634,504E45,,,54.98872,36.82577,FIA132  ,20200,390,203,1728
640,504E45,,,54.98808,36.82528,FIA132  ,20225,390,203,1728
658,504E45,,,54.98094,36.82010,FIA132  ,20350,390,203,1856
664,504E45,,,54.98001,36.81943,FIA132  ,20375,390,203,1856
682,504E45,,,54.97746,36.81761,FIA132  ,20425,390,203,1856
689,504E45,,,54.97581,36.81640,FIA132  ,20450,391,203,1920
694,504E45,,,54.97503,36.81585,FIA132  ,20475,391,203,1920
711,504E45,,,54.97396,36.81510,FIA132  ,20525,391,203,1920
715,504E45,,,54.97251,36.81402,FIA132  ,20550,391,203,1920
720,504E45,,,54.97110,36.81300,FIA132  ,20550,391,203,1920
742,504E45,,,54.96735,36.81034,FIA132  ,20625,392,203,1920
750,504E45,,,54.96584,36.80921,FIA132  ,20650,392,203,1920
767,504E45,,,54.96264,36.80695,FIA132  ,20725,392,203,1920
779,504E45,,,54.95952,36.80468,FIA132  ,20775,392,203,1920
785,504E45,,,54.95869,36.80412,FIA132  ,20800,392,203,1856
792,504E45,,,54.95771,36.80337,FIA132  ,20800,392,203,1856
794,504E45,,,54.95682,36.80275,FIA132  ,20825,392,203,1856
801,504E45,,,54.95599,36.80212,FIA132  ,20850,393,203,1792
811,504E45,,,54.95416,36.80081,FIA132  ,20875,393,203,1792
819,504E45,,,54.95268,36.79979,FIA132  ,20900,393,203,1728
827,504E45,,,54.95096,36.79854,FIA132  ,20925,393,203,1728
833,504E45,,,54.95031,36.79804,FIA132  ,20950,394,203,1664
838,504E45,,,54.94928,36.79729,FIA132  ,20950,394,203,1664
850,504E45,,,54.94765,36.79613,FIA132  ,20975,394,203,1664
859,504E45,,,54.94724,36.79588,FIA132  ,21025,394,203,1664
863,504E45,,,54.94230,36.79230,FIA132  ,21075,394,203,1664
884,504E45,,,54.93797,36.78922,FIA132  ,21150,395,203,1664
904,504E45,,,54.93100,36.78425,FIA132  ,21275,395,203,1728
919,504E45,,,54.93100,36.78425,FIA132  ,21550,397,203,1792
993,504E45,,,54.93100,36.78425,FIA132  ,24475,399,203,1472
1029,42458B,,,55.41881,37.35967,AFL1629 ,14000,312,0,-2176
1033,42458B,,,55.41879,37.35966,AFL1629 ,13975,311,0,-2176
1038,42458B,,,55.42168,37.35957,AFL1629 ,13900,311,0,-2240
1040,42458B,,,55.42309,37.35959,AFL1629 ,13850,311,0,-2240
1043,42458B,,,55.42910,37.35942,AFL1629 ,13700,311,0,-2240
1049,42458B,,,55.43026,37.35942,AFL1629 ,13675,311,0,-2240
1051,42458B,,,55.43198,37.35933,AFL1629 ,13625,311,0,-2176
